frequency,type,mode,label
162.4,no-tx,FM,WX2
162.425,no-tx,FM,WX4
162.45,no-tx,FM,WX5
162.475,no-tx,FM,WX3
162.5,no-tx,FM,WX6
162.525,no-tx,FM,WX7
162.55,no-tx,FM,WX1
